OG,lnL_Null2,lnL_Null05,lnL_ML2,lnL_ML05,lnL_Fix,W_Null2,W_Null05,W0_ML2,W1_ML2,W0_ML05,W1_ML05
N0.HOG0000005,-87163.664102,-87163.664052,-87160.135072,-87160.138515,-88461.384535,0.0887,0.08867,0.08654,0.09963,0.0866,0.09957
N0.HOG0000016,-102762.501523,-102762.5017,-102719.026705,-102719.026669,-105121.681152,0.11146,0.11149,0.11886,0.08035,0.11884,0.08034
N0.HOG0000028,-83441.778789,-83441.917933,-83438.413971,-83439.911953,-86005.360027,0.06473,0.06464,0.06727,0.05865,0.06771,0.05927
N0.HOG0000033,-60444.783306,-60444.790753,-60411.128483,-60411.128445,-62372.13505,0.08089,0.08079,0.08892,0.05549,0.08892,0.05547
N0.HOG0000054,-52933.375899,-52933.3759,-52904.677473,-52904.677473,-54099.992246,0.09847,0.09847,0.08839,0.12773,0.08839,0.12773
N0.HOG0000055,-57278.361143,-57278.417471,-57269.654311,-57269.675999,-59134.07128,0.06877,0.06868,0.073,0.05653,0.07289,0.0566
N0.HOG0000072,-40591.586616,-40591.587661,-40591.545556,-40591.545565,-41036.358929,0.08975,0.08973,0.09,0.08767,0.09001,0.08772
N0.HOG0000084,-116565.279285,-122147.607941,-133563.772041,-124278.040225,-118817.707929,0.12386,0.5,1.81341,2.14495,0.42672,0.4913
N0.HOG0000089,-27982.72865,-27912.584792,-32508.310901,-28567.255734,-28761.854137,0.09847,0.0519,1.8002,2.09834,0.05451,0.82474
N0.HOG0000165,-173446.777757,-173444.416591,-174014.107853,-179847.955635,-178085.741325,0.22304,0.22803,0.32875,0.14291,0.59913,0.64864
N0.HOG0000166,-153471.866459,-141145.783966,-145080.486442,-138574.825542,-142745.01922,2.1113,0.5,0.18472,1.59742,0.29145,0.21149
N0.HOG0000168,-64654.212062,-64922.828728,-67268.509814,-64558.74647,-66190.780841,0.22825,0.20051,0.30932,1.84848,0.30613,0.15331
N0.HOG0000169,-84863.740567,-80450.827349,-85104.293799,-80376.224529,-82842.929508,0.55389,0.23409,0.2312,2.11028,0.28411,0.18196
N0.HOG0000181,-24934.263953,-24934.263953,-24933.988654,-24933.988654,-24999.995607,0.38188,0.38188,0.37821,0.40178,0.37821,0.40178
N0.HOG0000199,-44980.70134,-44980.701345,-44903.988865,-44903.63599,-45383.625765,0.34297,0.34308,0.38905,0.19546,0.3907,0.1836
N0.HOG0000252,-48523.481046,-48523.481049,-48509.084006,-48509.083998,-48891.78211,0.27674,0.27675,0.29035,0.21322,0.29036,0.21321
N0.HOG0000256,-61558.689973,-61558.689973,-61557.447059,-61557.447059,-61941.32931,0.28801,0.28801,0.29154,0.26982,0.29154,0.26982
N0.HOG0000259,-33642.152899,-33642.152899,-33627.186211,-33627.186211,-33835.785848,0.32474,0.32474,0.34235,0.22803,0.34235,0.22803
N0.HOG0000261,-35869.568499,-35869.568502,-35861.964376,-35861.964376,-36136.11971,0.26931,0.26931,0.27997,0.21442,0.27996,0.21442
N0.HOG0000262,-73974.813444,-73974.813444,-73969.75824,-73969.75824,-75017.856766,0.26098,0.26098,0.27092,0.24152,0.27092,0.24152
N0.HOG0000263,-50347.174333,-50347.174333,-50346.552495,-50346.552495,-50458.533924,0.23915,0.23915,0.23783,0.26148,0.23783,0.26147
N0.HOG0000264,-33464.059989,-33464.059989,-33389.272905,-33389.272905,-33920.60442,0.20158,0.20158,0.22428,0.08057,0.22428,0.08058
N0.HOG0000266,-29552.120278,-29552.120278,-29549.519162,-29549.519162,-29848.454423,0.2283,0.22831,0.23478,0.20005,0.23479,0.20006
N0.HOG0000267,-62861.948359,-63236.453636,-62860.740123,-62852.230541,-63602.50163,0.23862,0.21507,0.2531,0.2089,0.24906,0.20372
N0.HOG0000272,-27418.8923,-27418.8923,-27416.015881,-27416.015881,-27576.054077,0.28661,0.28661,0.29428,0.24242,0.29428,0.24242
N0.HOG0000273,-43981.055089,-43981.055088,-43941.478179,-43941.478178,-44578.26399,0.18706,0.18705,0.20055,0.11083,0.20054,0.11083
N0.HOG0000275,-28706.627773,-28706.627773,-28690.263535,-28690.263535,-28895.41336,0.28543,0.28543,0.30318,0.18952,0.30318,0.18952
N0.HOG0000277,-32969.092288,-32969.092288,-32961.840807,-32961.840811,-33489.914646,0.25758,0.25757,0.27456,0.22367,0.27457,0.22365
N0.HOG0000278,-32123.063326,-32123.063325,-32122.653684,-32122.653684,-32430.939809,0.30908,0.30908,0.31416,0.29847,0.31416,0.29847
N0.HOG0000281,-60646.331323,-60646.331324,-60631.586849,-60631.586851,-61089.849129,0.30151,0.30148,0.31501,0.24111,0.31502,0.24113
N0.HOG0000282,-58693.617167,-58693.617167,-58675.124133,-58675.124133,-59419.580696,0.21675,0.21675,0.2278,0.16885,0.2278,0.16885
N0.HOG0000283,-54826.639291,-54826.639291,-54814.041068,-54814.041068,-55321.963757,0.25748,0.25748,0.26921,0.20754,0.26921,0.20754
N0.HOG0000285,-28740.601376,-28740.601376,-28738.270607,-28738.270607,-28942.352418,0.30224,0.30224,0.31141,0.2682,0.31141,0.2682
N0.HOG0000298,-32429.267737,-32429.267737,-32427.556904,-32427.556904,-32969.384431,0.11216,0.11216,0.11496,0.09871,0.11496,0.09869
N0.HOG0000315,-51221.95277,-51221.952775,-51218.262983,-51218.262982,-51947.359168,0.2385,0.23851,0.24779,0.21856,0.24778,0.21856
N0.HOG0000392,-23747.709829,-23747.709829,-23736.56394,-23736.56394,-24116.132209,0.18832,0.18832,0.20199,0.13982,0.20199,0.13982
N0.HOG0000393,-12539.486103,-12539.486103,-12531.953999,-12531.953999,-12644.625957,0.26953,0.26953,0.29029,0.18158,0.29029,0.18157
N0.HOG0000402,-21464.579639,-21464.538748,-21452.839147,-21418.407501,-22062.649729,0.12581,0.12572,0.19129,0.05601,0.14486,0.05665
N0.HOG0000403,-34664.462635,-34664.462635,-34664.462394,-34664.462394,-34806.962871,0.38132,0.38132,0.38144,0.38092,0.38144,0.38092
N0.HOG0000408,-18629.572803,-18629.572803,-18614.695389,-18614.695389,-18906.930105,0.20523,0.20523,0.22619,0.13763,0.22619,0.13763
N0.HOG0000410,-31334.187297,-31334.187297,-31328.477147,-31328.477147,-31536.176971,0.2251,0.22511,0.23139,0.17204,0.2314,0.17204
N0.HOG0000411,-29292.990714,-29292.990727,-29264.000484,-29264.000468,-29699.220359,0.10924,0.10925,0.11603,0.04472,0.11601,0.04473
N0.HOG0000414,-32822.62051,-32822.62051,-32817.97282,-32817.97282,-33132.520946,0.1813,0.1813,0.18636,0.14736,0.18636,0.14736
N0.HOG0000415,-29543.827945,-29543.827945,-29539.00533,-29539.00533,-29881.158876,0.16721,0.16721,0.17207,0.13271,0.17207,0.13271
N0.HOG0000419,-21955.484108,-21955.484107,-21954.153351,-21954.153351,-22061.904553,0.14528,0.14528,0.14692,0.11442,0.14692,0.11442
N0.HOG0000425,-41919.183067,-41919.183067,-41919.064094,-41919.064093,-42038.976862,0.36291,0.36291,0.36121,0.37288,0.36121,0.37289
N0.HOG0000431,-20240.351974,-20221.074075,-20208.599501,-20305.965617,-20434.043548,0.14841,0.14306,0.16206,0.06213,0.13617,0.0459
N0.HOG0000432,-21559.684065,-22717.128698,-25556.084515,-21196.214773,-22293.669888,0.11092,0.5,2.07069,1.90234,0.08825,0.05603
N0.HOG0000447,-30803.980432,-30803.980432,-30760.634432,-30760.634432,-31148.708134,0.32299,0.32299,0.36588,0.1999,0.36588,0.19991
N0.HOG0000448,-64394.352528,-64394.352527,-64387.287854,-64387.287847,-65106.918125,0.37233,0.37233,0.39525,0.34432,0.39526,0.34428
N0.HOG0000470,-116813.495278,-116813.495278,-116781.643189,-116781.643189,-117871.601192,0.36181,0.36181,0.38908,0.30734,0.38908,0.30734
N0.HOG0000478,-35947.169781,-35947.169781,-35929.178972,-35929.178977,-36414.549886,0.26546,0.26546,0.29418,0.20747,0.29416,0.20745
N0.HOG0000482,-20842.373822,-20842.373822,-20836.534357,-20836.534357,-20897.452784,0.22433,0.22433,0.22937,0.11895,0.22937,0.11894
N0.HOG0000485,-16886.378847,-16886.378847,-16885.176598,-16885.176598,-16959.426097,0.24949,0.24949,0.25385,0.20831,0.25385,0.20831
